STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/1/2021,50,60,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/2/2021,51,54,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/3/2021,52,53,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/4/2021,55,62,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/5/2021,52,58,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/6/2021,48,56,42,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/7/2021,51,58,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/8/2021,53,58,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/9/2021,51,61,42,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/10/2021,51,58,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/11/2021,52,61,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/12/2021,53,58,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/13/2021,56,68,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/14/2021,56,69,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/15/2021,54,63,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/16/2021,57,67,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/17/2021,56,74,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/18/2021,60,74,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/19/2021,62,66,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/20/2021,55,67,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/21/2021,52,58,42,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/22/2021,52,55,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/23/2021,52,57,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/24/2021,51,53,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/25/2021,49,54,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/26/2021,47,52,39,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/27/2021,51,55,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/28/2021,51,54,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/29/2021,49,57,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/30/2021,51,58,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/31/2021,55,61,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/1/2021,55,65,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/2/2021,57,61,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/3/2021,52,59,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/4/2021,53,62,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/5/2021,52,67,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/6/2021,53,67,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/7/2021,53,67,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/8/2021,52,58,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/9/2021,54,60,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/10/2021,54,62,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/11/2021,53,57,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/12/2021,55,60,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/13/2021,55,60,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/14/2021,53,58,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/15/2021,56,59,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/16/2021,53,58,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/17/2021,52,64,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/18/2021,52,65,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/19/2021,56,60,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/20/2021,54,60,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/21/2021,53,64,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/22/2021,56,72,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/23/2021,59,76,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/24/2021,57,71,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/25/2021,60,66,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/26/2021,54,61,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/27/2021,52,61,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/28/2021,55,69,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/1/2021,55,69,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/2/2021,55,65,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/3/2021,55,64,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/4/2021,53,63,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/5/2021,55,65,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/6/2021,55,58,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/7/2021,52,60,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/8/2021,53,59,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/9/2021,53,60,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/10/2021,50,56,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/11/2021,49,59,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/12/2021,52,65,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/13/2021,53,56,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/14/2021,53,58,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/15/2021,50,55,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/16/2021,50,57,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/17/2021,49,56,43,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/18/2021,53,58,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/19/2021,56,61,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/20/2021,54,58,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/21/2021,52,61,44,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/22/2021,53,61,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/23/2021,55,66,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/24/2021,62,69,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/25/2021,54,60,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/26/2021,54,71,45,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/27/2021,57,77,46,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/28/2021,58,68,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/29/2021,53,63,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/30/2021,59,77,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",3/31/2021,64,81,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/1/2021,66,84,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/2/2021,60,70,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/3/2021,55,63,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/4/2021,56,62,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/5/2021,54,57,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/6/2021,54,63,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/7/2021,54,59,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/8/2021,54,62,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/9/2021,54,59,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/10/2021,54,64,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/11/2021,55,68,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/12/2021,55,66,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/13/2021,55,61,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/14/2021,56,69,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/15/2021,56,65,47,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/16/2021,54,60,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/17/2021,54,62,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/18/2021,58,76,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/19/2021,56,63,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/20/2021,55,60,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/21/2021,56,64,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/22/2021,55,62,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/23/2021,56,68,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/24/2021,56,66,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/25/2021,56,60,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/26/2021,55,62,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/27/2021,56,70,48,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/28/2021,61,83,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/29/2021,59,63,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/30/2021,57,62,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/1/2021,56,61,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/2/2021,57,67,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/3/2021,60,77,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/4/2021,62,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/5/2021,59,70,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/6/2021,55,64,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/7/2021,57,66,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/8/2021,61,79,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/9/2021,63,76,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/10/2021,62,84,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/11/2021,62,72,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/12/2021,57,68,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/13/2021,57,68,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/14/2021,55,61,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/15/2021,55,64,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/16/2021,58,67,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/17/2021,57,62,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/18/2021,58,68,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/19/2021,57,62,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/20/2021,56,65,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/21/2021,56,64,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/22/2021,58,70,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/23/2021,58,65,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/24/2021,56,65,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/25/2021,59,65,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/26/2021,58,66,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/27/2021,58,68,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/28/2021,61,68,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/29/2021,57,60,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/30/2021,59,73,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/31/2021,62,76,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/1/2021,63,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/2/2021,59,67,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/3/2021,60,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/4/2021,61,68,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/5/2021,63,74,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/6/2021,62,73,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/7/2021,60,66,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/8/2021,60,67,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/9/2021,60,67,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/10/2021,61,69,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/11/2021,62,73,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/12/2021,68,78,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/13/2021,67,77,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/14/2021,68,73,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/15/2021,64,74,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/16/2021,68,86,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/17/2021,71,90,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/18/2021,70,84,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/19/2021,67,79,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/20/2021,65,76,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/21/2021,66,75,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/22/2021,68,76,64,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/23/2021,68,74,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/24/2021,66,75,61,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/25/2021,63,71,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/26/2021,63,70,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/27/2021,63,71,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/28/2021,62,69,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/29/2021,63,71,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/30/2021,65,72,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/1/2021,66,76,61,
